Phố  Đình Đông,186
Phố Đình Đông,196
Phố Hàng Kênh,202
Phố Hàng Kênh,206
Phố Hàng Kênh,207
Phố Hàng Kênh,208
Phố Hàng Kênh,209
Phố Hàng Kênh,210
Phố Hàng Kênh,211
Phố Hàng Kênh,212
Phố Tràng Cát,537
Phố Hàng Kênh,745
Phố Hàng Kênh,747
Phố Hồ Sen,775
Phố Hồ Sen,786
Phố Hồ Sen,787
Phố Hồ Sen,788
Phố Hồ Sen,789
Phố Tràng Cát,1132
Phố Cầu Đất,1350
Phố Hai Bà Trưng (Cát Dài),1354
Phố Hai Bà Trưng (Cát Dài),1355
Phố Hai Bà Trưng (Cát Dài),1357
Phố Hai Bà Trưng (Cát Dài),1358
Phố Hai Bà Trưng (Cát Dài),1359
Phố Hai Bà Trưng (Cát Dài),1360
Phố Hai Bà Trưng (Cát Dài),1363
Phố Hai Bà Trưng (Cát Dài),1364
Phố Hai Bà Trưng (Cát Dài),1367
Phố Hai Bà Trưng (Cát Dài),1369
Phố Mê Linh,1377
Phố Mê Linh,1378
Phố Mê Linh,1379
Phố Mê Linh,1380
Phố Nguyễn Đức Cảnh,1383
Phố Nguyễn Đức Cảnh,1384
Phố Lê Chân,1391
Phố Nguyễn Đức Cảnh,1402
Phố Nguyễn Đức Cảnh,1405
Phố Nguyễn Đức Cảnh,1406
Phố Tràng Cát,1990
Phố Tràng Cát,1991
Phố Tràng Cát,1992
Phố Tràng Cát,1993
Phố Tràng Cát,1994
Phố Tràng Cát,1995
Phố Tràng Cát,1996
Phố Tràng Cát,1997
Phố Tràng Cát,1998
Phố Tràng Cát,1999
Phố Tràng Cát,2000
Phố Tràng Cát,2001
Phố Tràng Cát,2002
Phố Tràng Cát,2003
Phố Tràng Cát,2004
Phố Tràng Cát,2005
Phố Tràng Cát,2006
Phố Tràng Cát,2007
Phố Tràng Cát,2008
Phố Tràng Cát,2009
Phố Tràng Cát,2010
Phố Tràng Cát,2011
Phố Tràng Cát,2012
Phố Tràng Cát,2013
Phố Tràng Cát,2014
Phố Tràng Cát,2015
Phố Tràng Cát,2016
Phố Tràng Cát,2017
Phố Tràng Cát,2018
Phố Tràng Cát,2019
Phố Tràng Cát,2020
Phố Tràng Cát,2021
Phố Tràng Cát,2022
Phố Tràng Cát,2023
Phố Tràng Cát,2024
Phố Tràng Cát,2025
Phố Tràng Cát,2026
Phố Tràng Cát,2027
Phố Tràng Cát,2028
