,610
Phố Hàng Kênh,647
Phố Hàng Kênh,648
Phố Hàng Kênh,649
Phố Hàng Kênh,651
Phố Tràng Cát,890
Phố Chợ Con,1252
Phố Hai Bà Trưng (Cát Dài),1265
Phố Hai Bà Trưng (Cát Dài),1266
Phố Hai Bà Trưng (Cát Dài),1267
Phố Hai Bà Trưng (Cát Dài),1268
Phố Hai Bà Trưng (Cát Dài),1269
Phố Hai Bà Trưng (Cát Dài),1270
Phố Hai Bà Trưng (Cát Dài),1271
Phố Hai Bà Trưng (Cát Dài),1272
Phố Hai Bà Trưng (Cát Dài),1273
Phố Hai Bà Trưng (Cát Dài),1274
Phố Tràng Cát,1538
Phố Hai Bà Trưng (Cát Dài),1871
Phố Nguyễn Đức Cảnh,1898
Phố Tràng Cát,2194

