"xe_id","chuyen_id","vong_id","time","addresss","lat","lon","note"
"Xe 9m3 15C28567","Chuyến 2","Vòng 1","20h00","20-30 Hai Bà Trưng, An Biên, Ngô Quyền ","20.8539435789","106.6829352684","3"
"Xe 9m3 15C28567","Chuyến 2","Vòng 1","20h05","96  Hai Bà Trưng, An Biên, Ngô Quyền ","20.8548051478","106.6814521107","2"
"Xe 9m3 15C28567","Chuyến 2","Vòng 1","20h15","170 Hai Bà Trưng, An Biên, Ngô Quyền ","20.8530250500","106.6781862549","2"
"Xe 9m3 15C28567","Chuyến 2","Vòng 1","20h50-21h00","170  Hai Bà Trưng, An Biên, Ngô Quyền ","20.8530551281","106.6781862549","1"
"Xe 15C28568","Chuyến 2","Vòng 1","19h15","289A Lâm Tường, Hồ Nam","20.8499712536","106.6744702684","6"
"Xe 15C28568","Chuyến 2","Vòng 1","21h30","Quán Mau","20.8425785767","106.6911471371","1"
"Xe 12m3 : 15C34672","Chuyến 2","Vòng 1","22h15","97  Hai Bà Trưng, An Biên, Ngô Quyền ","20.8532856581","106.6800150684","2"
"Xe 12m3 : 15C34672","Chuyến 2","Vòng 1","22h40","231 Tô Hiệu, Trại Cau","20.8506444790","106.6777296414","3"
"Xe 12m3 : 15C34672","Chuyến 2","Vòng 1","22h55","Kainan","20.8450960312","106.6857828174","3"
"Xe 12m3 : 15C34672","Chuyến 2","Vòng 1","23h40","159 Tô Hiệu, Trại Cau","20.8511037923","106.6813452655","4"
"Xe 12m3 : 15C34672","Chuyến 2","Vòng 1","23h50","100  Hai Bà Trưng, An Biên, Ngô Quyền ","20.8534893932","106.6809681703","2"
"Xe 12m3 15C34761","Chuyến 2","Vòng 1","20h15-20h30","Cầu Quán Nải","20.8418313441","106.6778825196","7"
"Xe 12m3 15C34762","Chuyến 2","Vòng 1","5h00","VP3C+33Q, Đông Hải 1, Hải An, Hải Phòng, Việt Nam","20.860741090548","106.7225255465","1"
"Xe 12m3 15C34763","Chuyến 2","Vòng 1","5h40","Bể Bơi Hàng Hải","20.862871119257","106.722.528","5"
"Xe 12m3 15C34764","Chuyến 2","Vòng 1","5h55","14-1 Hồ Xuân Hương","20.862877089625","106.68572192024","4"
"Xe 12m3 15C34765","Chuyến 2","Vòng 1","6h00","282-290 Lạch Tray","20.836597618892","106.69602590315","1"
"Xe 12m3 15C34766","Chuyến 2","Vòng 1","6h05","RMFP+5X Lê Chân, Hải Phòng, Việt Nam","20.823546184152","106.68813874992","3"
"Xe 12m3 15C34767","Chuyến 2","Vòng 1","6h10","4-22 Lê Lợi","20.860563666542","106.69491501196","4"
"Xe 12m3 15C34768","Chuyến 2","Vòng 1","6h15","840 Nguyễn Văn Linh","20.841297729915","106.66224959734","3"
"Xe 12m3 15C34769","Chuyến 2","Vòng 1","6h18","34-20 Trần Quang Khải","20.859908867205","106.68299965478","7"
"Xe 12m3 15C34770","Chuyến 2","Vòng 1","6h25","12B5, lô 26BC, Lê Hồng Phòng","20.85231880693","106.70247011776","1"
"Xe 12m3 15C34771","Chuyến 2","Vòng 1","6h28","25 Đà Nẵng","20.861376369962","106.69403241216","2"
"Xe 12m3 15C34772","Chuyến 2","Vòng 1","8h10","Kiến Thiết 2, Sở Dầu","20.869301475906","106.66113508807","1"
"Xe 12m3 15C34773","Chuyến 2","Vòng 1","8h15","64 Hoàng Văn Thụ","20.855642143187","106.68400218419","4"
"Xe 12m3 15C34774","Chuyến 2","Vòng 1","8h20","58 Cát Bi","20.824603162122","106.71114167091","1"
"Xe 12m3 15C34775","Chuyến 2","Vòng 1","8h25","5 Phố Lũng Bắc","20.842740679934","106.71699929803","1"
"Xe 12m3 15C34776","Chuyến 2","Vòng 1","8h50","184 Đà Nẵng","20.861286871618","106.69969742835","3"
"Xe 12m3 15C34777","Chuyến 2","Vòng 1","9h05","2-18 Nguyễn Khuyến","20.837823631437","106.68458224679","2"
"Xe 12m3 15C34778","Chuyến 2","Vòng 1","9h30","321-305 Chợ Hàng","20.854714638023","106.69358201505","3"
"Xe 12m3 15C34779","Chuyến 2","Vòng 1","11h20","104 Phố Cấm","20.850018055909","106.70797143191","2"
"Xe 12m3 15C34780","Chuyến 2","Vòng 1","12h05","Chung cư 9 tầng","20.844829971502","106.69941760608","3"
"Xe 12m3 15C34781","Chuyến 2","Vòng 1","13h30-14h00","Chung Cư Hoàng Huy","20.839357048508","106.69492055237","3"
"Xe 12m3 15C34782","Chuyến 2","Vòng 1","13h35","2-30 Trần Văn Lan","20.828795266772","106.7101949408","3"
"Xe 12m3 15C34783","Chuyến 2","Vòng 1","13h55","226 Lê Lai","20.869206160147","106.70188462553","3"
"Xe 12m3 15C34784","Chuyến 2","Vòng 1","14h05","142 Phố Lê Lai","20.869194630097","106.70188889968","2"
"Xe 12m3 15C34785","Chuyến 2","Vòng 1","14h15","RMJM+7C3 Lê Chân, Hải Phòng, Việt Nam","20.830574290158","106.68355503959","2"
"Xe 12m3 15C34786","Chuyến 2","Vòng 1","14h55","726 P. Thiên Lôi, Kênh Dương","20.826491576352","106.68643273702","1"
"Xe 12m3 15C34787","Chuyến 2","Vòng 1","15h05","145-136 QL5, Đằng Giang, Ngô Quyền, Hải Phòng, Việt Nam","20.869942435453","106.63466177476","6"
"Xe 12m3 15C34788","Chuyến 2","Vòng 1","18h40","2 P. Kênh Đ., Dư Hàng Kênh, Lê Chân, Hải Phòng, Việt Nam","20.837192647552","106.68896485727","1"
"Xe 12m3 15C34789","Chuyến 2","Vòng 1","19h00","1 Đào Nhuận, Dư Hàng Kênh, Lê Chân, Hải Phòng, Việt Nam","20.832684659107","106.6843408273","2"
"Xe 12m3 15C34799","Chuyến 2","Vòng 1","6h25","108-16 Đường Chùa Nghèo, An Thái, An Dương, Hải Phòng, Việt Nam","20.8465641843","106.65065895298","9"
"Xe 12m3 15C34800","Chuyến 2","Vòng 1","6h28","1, Kinh Giao, An Dương","20.9015482496","106.57523952698","1"
"Xe 12m3 15C34801","Chuyến 2","Vòng 1","8h10","xóm Chương, An Hưng, An Dương, Hải Phòng, Việt Nam","20.9058981002","106.57793109284","5"
"Xe 12m3 15C34802","Chuyến 2","Vòng 1","8h15","Hải Thanh","20.9075592408","106.57154103389","3"
"Xe 12m3 15C34803","Chuyến 2","Vòng 1","8h20","xóm Bắc, An Hưng, An Dương, Hải Phòng, Việt Nam","20.9100215019","106.58457923408","3"
"Xe 12m3 15C34804","Chuyến 2","Vòng 1","8h25","Nghĩa trang thôn Do Nha, Tân Tiến, An Dương, Hải Phòng, Việt Nam","20.8952706092","106.5875973174","3"
"Xe 12m3 15C34805","Chuyến 2","Vòng 1","8h50","151 Phan Đăng Lưu, Nam Sơn, An Dương, Hải Phòng, Việt Nam","20.8812728558","106.60174827116","7"
"Xe 12m3 15C34806","Chuyến 2","Vòng 1","9h05","Him Lam, 429 đường 9, Hùng Vương, Hồng Bàng, Hải Phòng, Việt Nam","20.8716236539","106.64039585973","7"
"Xe 12m3 15C34807","Chuyến 2","Vòng 1","9h30","72 Cam Lộ, Hùng Vương, Hồng Bàng","20.8730181348","106.63923858856","3"
"Xe 12m3 15C34808","Chuyến 2","Vòng 1","11h20","2A1 Ngô Tất Tố, Đông Khê, Ngô Quyền, Hải Phòng, Việt Nam","20.8530475021","106.69894063844","2"
"Xe 12m3 15C34809","Chuyến 2","Vòng 1","12h05","85 Đà Nẵng","20.8613541136","106.69762172843","9"
