xe_id,chuyen_id,vong_id,time,addresss,lat,lon,note
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h45,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,13h55,"196 Tô Hiệu, Trại Cau",20.8513064306,106.6795095242,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h05,"53 Lạch Tray, Đằng Giang, Ngô Quyền, Hải Phòng, Việt Nam",20.8488847354,106.6922283956,5
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h15,"Đối diện 30 Trần Nguyên Hãn, Cát Dài",20.8521851485,106.6707130437,4
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h25,"57 Nguyễn Đức Cảnh, Cát Dài",20.8551983236,106.6769582521,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h35,"2 Mê Linh, An Biên (THPT Ngô Quyền)",20.8550836956,106.6795595261,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h45,"60  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8538851571,106.6822710549,2
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h50,"138,186 Hai Bà Trưng, An Biên (Chi Chi)",20.8529924554,106.6792835881,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,14h55,"186  Hai Bà Trưng, An Biên, Ngô Quyền ",20.8528810980,106.6773809107,1
Xe 9m3 15C28542,Chuyến 1,Vòng 1,15h05,Ngã 3 Hồ Sen,20.8458989592,106.6818008961,3
Xe 9m3 15C28542,Chuyến 1,Vòng 1,15h15,"47 Nguyễn Công Trứ, Hàng Kênh, Lê Chân",20.8466800463,106.6839699590,4
Xe 9m3 15C28542,Chuyến 1,Vòng 1,15h30,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,7
Xe 9m3 15C28542,Chuyến 1,Vòng 1,,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 9m3 15C28542,Chuyến 2,Vòng 1,17h30,"Đối diện 10 Hồ Sen, Trại Cau",20.8498892842,106.6810941105,12
Xe 9m3 15C28542,Chuyến 2,Vòng 1,18h40,"Đường đôi Hồ Sen, Trại Cau",,,4
Xe 9m3 15C28542,Chuyến 2,Vòng 1,19h00,"256 Tô Hiệu, Trại Cau",20.8507951624,106.6769894684,3
Xe 9m3 15C28542,Chuyến 2,Vòng 1,19h15,"12 Chợ Con, Trại Cau",20.8503618582,106.6841965261,8
Xe 9m3 15C28542,Chuyến 2,Vòng 1,20h30-21h00,Trạm bơm HS,20.8497640592,106.6813728093,7
Xe 9m3 15C28542,Chuyến 2,Vòng 1,22h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 9m3 15C28567,Chuyến 1,Vòng 1,14h00,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 9m3 15C28567,Chuyến 1,Vòng 1,14h45,"56 Hai Bà Trưng, An Biên, Ngô Quyền ",20.8538183750,106.6820259261,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h05,"199 Tô Hiệu, Trại Cau",20.8508294788,106.6791304549,2
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h15,"Bể Việt Tiệp, 53 Lạch Tray, Đằng Giang, Ngô Quyền ",20.8488847354,106.6922283956,10
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h20,"125 Nguyễn Đức Cảnh, Cát Dài (Bãi xe TT)",20.9873733407,105.8506695959,2
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h25,"35 Nguyễn Đức Cảnh, Cát Dài",20.9876027736,105.8485024629,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h30,"2 Mê Linh, An Biên (THPT Ngô Quyền)",20.8550836956,106.6795595261,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h35,"138 Hai Bà Trưng, An Biên",20.8530715687,106.6792796470,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,15h50,"47 Nguyễn Công Trứ, Hàng Kênh (Đình Hàng Kênh)",20.8466800463,106.6839699590,4
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h00,"Ngã 3 Chợ Hàng, Hàng Kênh",20.8474995891,106.6855749768,6
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h05,85 Hàng Kênh,20.8502994745,106.6856557396,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h10,"111 Cầu Đất, Ngô Quyền (Rạp Công nhân)",20.8541779683,106.6838083864,2
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h15,"56 Hai Bà Trưng, An Biên ",20.8538384270,106.6819830107,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h20,"138 Hai Bà Trưng, An Biên",20.8529924554,106.6792835881,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h25,"62 Nguyễn Đức Cảnh, Cát Dài",20.8551052215,106.6766029081,1
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h30,"187 Tô Hiệu, Trại Cau",20.8510503523,106.6795813388,3
Xe 9m3 15C28567,Chuyến 1,Vòng 1,16h35,"133 Tô Hiệu, Trại Cau",20.8515661658,106.6816166369,2
Xe 9m3 15C28567,Chuyến 1,Vòng 1,,"RQ62+MPP, Ngô Gia Tự, Tràng Cát, Hải An (XN vận tải)",,,
Xe 9m3 15C28567,Chuyến 2,Vòng 1,18h20,"33 Nguyễn Đức Cảnh, Cát Dài",20.8534655107,106.6684897864,2
